,ndate,trk,meet,race,fin,com
3171008,20180301,DB,A,12,6,PNCHD BK BLKD 1ST
3171009,20180301,DB,A,12,7,FADED STRETCH
3171010,20180301,DB,A,13,1,DREW AWAY
3171011,20180301,DB,A,13,2,CAUGHT LATE
3171012,20180301,DB,A,13,3,GAME BID
3171013,20180301,DB,A,13,4,EVEN EFFORT
3171014,20180301,DB,A,13,5,LATE EFFORT
3171015,20180301,DB,A,13,6,BLOCKED WIDE 1ST
3171016,20180301,DB,A,13,7,BLOCKED WIDE 1ST
3171017,20180301,DB,A,14,1,FROM FAR BACK
3171018,20180301,DB,A,14,2,THREAT THRU OUT
3171019,20180301,DB,A,14,3,GAINED SHOW
3171020,20180301,DB,A,14,4,EVEN EFFORT
3171021,20180301,DB,A,14,5,EARLY LEADER
3171022,20180301,DB,A,14,6,SOME LATE GAIN
3171023,20180301,DB,A,14,7,CRWD ERLY BLKD 1ST
3171024,20180301,DB,A,14,8,DRIFTED BACK
3171025,20180301,MG,A,1,1,MUCH THE BEST OUTSD
3171026,20180301,MG,A,1,2,CHASED WINNER INSIDE
3171027,20180301,MG,A,1,3,FOLLOWED PACE INSIDE
3171028,20180301,MG,A,1,4,EVEN PACE MDTRACK
3171029,20180301,MG,A,1,5,HIT 1ST TRN OUTSIDE
3171030,20180301,MG,A,1,6,LOST DRIVE LT INSIDE
3171031,20180301,MG,A,1,7,BUMPED 1ST TRN MDTRK
3171032,20180301,MG,A,1,8,NEVER PROMINENT INSD
3171033,20180301,MG,A,2,1,CAME AGAIN MIDTRACK
3171034,20180301,MG,A,2,2,CAUGHT AT WIRE INSD
3171035,20180301,MG,A,2,3,CLOSED WELL MDTRACK
3171036,20180301,MG,A,2,4,LOST PACE HMSTR MTK
3171037,20180301,MG,A,2,5,SOME GAIN MDTRACK
3171038,20180301,MG,A,2,6,GAME EFFORT OUTSIDE
3171039,20180301,MG,A,2,7,STUMBLED WD 1ST OUTS
3171040,20180301,MG,A,2,8,COLLIDED 1ST WD MDTK
3171041,20180301,MG,A,3,1,DRAWING OUT INSIDE
3171042,20180301,MG,A,3,2,FORCING PACE MDTRACK
3171043,20180301,MG,A,3,3,GAVEWAY LT INSIDE
3171044,20180301,MG,A,3,4,BLCKD 1ST MVD UP OUT
3171045,20180301,MG,A,3,5,TIRING LATE MDTRACK
3171046,20180301,MG,A,3,6,GAME EFFORT MDTRACK
3171047,20180301,MG,A,3,7,HIT 1ST TRN OUTSIDE
3171048,20180301,MG,A,3,8,JAMMED 1ST TRN OUTSD
3171049,20180301,MG,A,4,1,ALL THE WAY MDTRACK
3171050,20180301,MG,A,4,2,BEST OF THE REST MTK
3171051,20180301,MG,A,4,3,CLOSING FAST MDTRK
3171052,20180301,MG,A,4,4,LOST GROUND MDTRACK
3171053,20180301,MG,A,4,5,GOOD EFFORT MDTRACK
3171054,20180301,MG,A,4,6,WENT WD 1ST OUTSIDE
3171055,20180301,MG,A,4,7,BLOCKED 1ST INSIDE
3171056,20180301,MG,A,4,8,NO MISHAPS INSIDE
3171057,20180301,MG,A,5,1,FAST FINISH MDTRACK
